,Date,Time,Open,High,Low,Close,Volume
389,2020-04-13,08:20:00,152.65,152.72,152.6,152.68,370.60134
390,2020-04-13,08:21:00,152.69,152.71,152.61,152.67,411.40693
391,2020-04-13,08:22:00,152.7,152.96,152.7,152.84,927.23225
392,2020-04-13,08:23:00,152.83,152.9,152.81,152.82,246.98064
393,2020-04-13,08:24:00,152.81,152.85,152.7,152.75,856.38208
394,2020-04-13,08:25:00,152.74,152.83,152.68,152.81,786.2809
395,2020-04-13,08:26:00,152.8,152.83,152.66,152.74,355.62633
396,2020-04-13,08:27:00,152.73,152.79,152.6,152.71,111.35535
397,2020-04-13,08:28:00,152.7,152.81,152.69,152.7,127.84469
398,2020-04-13,08:29:00,152.75,152.78,152.52,152.54,145.74531
399,2020-04-13,08:30:00,152.57,152.71,152.55,152.64,909.37685
400,2020-04-13,08:31:00,152.67,152.78,152.6,152.6,702.15446
401,2020-04-13,08:32:00,152.65,152.71,152.54,152.58,144.16797
402,2020-04-13,08:33:00,152.57,152.65,152.51,152.53,325.32177
403,2020-04-13,08:34:00,152.54,152.63,152.41,152.41,790.08779
404,2020-04-13,08:35:00,152.46,152.55,152.42,152.45,247.1214
405,2020-04-13,08:36:00,152.45,152.47,152.4,152.4,261.50922
406,2020-04-13,08:37:00,152.42,152.42,152.3,152.32,322.87006
407,2020-04-13,08:38:00,152.32,152.37,152.26,152.29,576.93396
408,2020-04-13,08:39:00,152.3,152.31,152.24,152.25,194.2518
409,2020-04-13,08:40:00,152.25,152.3,152.22,152.3,407.26688
410,2020-04-13,08:41:00,152.32,152.45,152.28,152.43,334.7062
411,2020-04-13,08:42:00,152.44,152.44,152.34,152.35,111.0613
412,2020-04-13,08:43:00,152.38,152.42,152.26,152.26,267.02891
413,2020-04-13,08:44:00,152.27,152.27,151.96,151.98,1376.44244
414,2020-04-13,08:45:00,151.97,152.13,151.96,152.01,374.93714
415,2020-04-13,08:46:00,152.04,152.22,152.04,152.18,351.17201
416,2020-04-13,08:47:00,152.2,152.23,152.11,152.16,148.12448
417,2020-04-13,08:48:00,152.16,152.24,152.08,152.23,190.41637
418,2020-04-13,08:49:00,152.24,152.29,152.22,152.29,146.90417
419,2020-04-13,08:50:00,152.27,152.35,152.23,152.26,393.61074
420,2020-04-13,08:51:00,152.26,152.3,152.15,152.22,230.37596
421,2020-04-13,08:52:00,152.22,152.46,152.22,152.45,282.54288
422,2020-04-13,08:53:00,152.48,152.48,152.32,152.42,226.84156
423,2020-04-13,08:54:00,152.42,152.42,152.3,152.3,239.67249
424,2020-04-13,08:55:00,152.29,152.31,152.15,152.15,217.52206
425,2020-04-13,08:56:00,152.18,152.23,152.11,152.12,215.19065
426,2020-04-13,08:57:00,152.14,152.22,152.14,152.16,188.78962
427,2020-04-13,08:58:00,152.15,152.17,152.08,152.08,208.0573
428,2020-04-13,08:59:00,152.13,152.53,152.07,152.52,482.89469
429,2020-04-13,09:00:00,152.52,152.53,152.2,152.2,503.47756
430,2020-04-13,09:01:00,152.22,152.23,151.97,152.01,510.7394
431,2020-04-13,09:02:00,152.02,152.02,151.88,151.97,381.85076
432,2020-04-13,09:03:00,151.98,152.02,151.92,151.96,481.14346
433,2020-04-13,09:04:00,151.96,152.03,151.93,151.94,557.4079
434,2020-04-13,09:05:00,151.92,151.96,151.9,151.92,645.43276
435,2020-04-13,09:06:00,151.92,152.12,151.91,152.09,372.36787
436,2020-04-13,09:07:00,152.11,152.16,152.0,152.04,204.89498
437,2020-04-13,09:08:00,152.02,152.08,151.95,151.98,839.04524
438,2020-04-13,09:09:00,151.95,152.04,151.95,152.02,420.66318
439,2020-04-13,09:10:00,152.02,152.05,151.9,151.94,440.59137
440,2020-04-13,09:11:00,151.94,152.05,151.91,151.97,416.62081
441,2020-04-13,09:12:00,151.96,152.04,151.92,151.99,479.18802
442,2020-04-13,09:13:00,151.99,152.03,151.95,151.98,607.59188
443,2020-04-13,09:14:00,151.97,152.05,151.9,151.91,709.1088
444,2020-04-13,09:15:00,151.91,151.91,151.76,151.78,738.90063
445,2020-04-13,09:16:00,151.79,151.89,151.76,151.84,303.24178
446,2020-04-13,09:17:00,151.87,151.91,151.76,151.89,413.7885
447,2020-04-13,09:18:00,151.86,151.88,151.72,151.77,542.55859
448,2020-04-13,09:19:00,151.77,151.79,151.7,151.75,766.39137
449,2020-04-13,09:20:00,151.74,151.75,151.48,151.48,1017.91283
450,2020-04-13,09:21:00,151.48,151.52,151.35,151.37,1272.77963
451,2020-04-13,09:22:00,151.39,151.63,151.39,151.63,318.71724
452,2020-04-13,09:23:00,151.62,151.88,151.62,151.69,756.34607
453,2020-04-13,09:24:00,151.67,151.77,151.65,151.76,252.87363
